Column1;Unnamed: 0;Text;Sentiment;Timestamp;User;Platform;Hashtags;Retweets;Likes;Country;Year;Month;Day;Hour
0;0; Enjoying a beautiful day at the park!              ; Positive  ;15/01/2023 12:30; User123      ; Twitter  ; #Nature #Park                            ;150;300; USA      ;2023;1;15;12
1;1; Traffic was terrible this morning.                 ; Negative  ;15/01/2023 8:45; CommuterX    ; Twitter  ; #Traffic #Morning                        ;50;100; Canada   ;2023;1;15;8
2;2; Just finished an amazing workout! ??               ; Positive  ;15/01/2023 15:45; FitnessFan   ; Instagram ; #Fitness #Workout                        ;200;400; USA        ;2023;1;15;15
3;3; Excited about the upcoming weekend getaway!        ; Positive  ;15/01/2023 18:20; AdventureX   ; Facebook ; #Travel #Adventure                       ;80;150; UK       ;2023;1;15;18
4;4; Trying out a new recipe for dinner tonight.        ; Neutral   ;15/01/2023 19:55; ChefCook     ; Instagram ; #Cooking #Food                           ;120;250; Australia ;2023;1;15;19
5;5; Feeling grateful for the little things in life.    ; Positive  ;16/01/2023 9:10; GratitudeNow ; Twitter  ; #Gratitude #PositiveVibes              ;250;500; India    ;2023;1;16;9
6;6; Rainy days call for cozy blankets and hot cocoa.   ; Positive  ;16/01/2023 14:45; RainyDays    ; Facebook ; #RainyDays #Cozy                         ;100;200; Canada   ;2023;1;16;14
7;7; The new movie release is a must-watch!             ; Positive  ;16/01/2023 19:30; MovieBuff    ; Instagram ; #MovieNight #MustWatch                  ;150;300; USA    ;2023;1;16;19
8;8; Political discussions heating up on the timeline.  ; Negative  ;17/01/2023 8:00; DebateTalk   ; Twitter  ; #Politics #Debate                       ;300;600; USA      ;2023;1;17;8
9;9; Missing summer vibes and beach days.               ; Neutral   ;17/01/2023 12:20; BeachLover   ; Facebook ; #Summer #BeachDays                      ;180;350; Australia ;2023;1;17;12
10;10; Just published a new blog post. Check it out!      ; Positive  ;17/01/2023 15:15; BloggerX     ; Instagram ; #Blogging #NewPost                      ;220;450;USA;2023;1;17;15
11;11; Feeling a bit under the weather today.             ; Negative  ;18/01/2023 10:30; WellnessCheck; Twitter  ; #SickDay #Health                        ;70;150; Canada   ;2023;1;18;10
12;12; Exploring the city's hidden gems.                  ; Positive  ;18/01/2023 14:50; UrbanExplorer; Facebook ; #CityExplore #HiddenGems                ;120;250; UK       ;2023;1;18;14
13;13; New year, new fitness goals! ??                    ; Positive  ;18/01/2023 18:00; FitJourney   ; Instagram ; #NewYear #FitnessGoals                  ;280;550; USA        ;2023;1;18;18
14;14; Technology is changing the way we live.            ; Neutral   ;19/01/2023 9:45; TechEnthusiast; Twitter  ; #Tech #Innovation                       ;150;300; India    ;2023;1;19;9
15;15; Reflecting on the past and looking ahead.          ; Positive  ;19/01/2023 13:20; Reflections  ; Facebook ; #Reflection #Future                     ;200;400; USA      ;2023;1;19;13
16;16; Just adopted a cute furry friend! ??              ; Positive  ;19/01/2023 17:10; PetAdopter   ; Instagram ; #PetAdoption #FurryFriend               ;150;300; Canada    ;2023;1;19;17
17;17; Late-night gaming session with friends.            ; Positive  ;20/01/2023 0:05; GamerX       ; Twitter  ; #Gaming #LateNight                      ;180;350; UK       ;2023;1;20;0
18;18; Attending a virtual conference on AI.              ; Neutral   ;20/01/2023 11:30; TechConference; Facebook ; #AI #TechConference                     ;250;500;USA;2023;1;20;11
19;19; Winter blues got me feeling low.                   ; Negative  ;20/01/2023 15:15; WinterBlues  ; Instagram ; #WinterBlues #Mood                      ;80;150; USA       ;2023;1;20;15
20;20; Sipping coffee and enjoying a good book.           ; Positive  ;21/01/2023 8:40; Bookworm     ; Twitter  ; #Reading #CoffeeTime                    ;220;450; India    ;2023;1;21;8
21;21; Exploring the world of virtual reality.            ; Positive  ;21/01/2023 13:20; VRExplorer   ; Facebook ; #VR #VirtualReality                     ;150;300;USA;2023;1;21;13
22;22; Productive day ticking off my to-do list.          ; Positive  ;21/01/2023 16:45; ProductivityPro; Instagram ; #Productivity #WorkFromHome           ;300;600; USA ;2023;1;21;16
23;23; Just finished a challenging workout routine.       ; Positive  ;22/01/2023 9:15; FitnessWarrior; Twitter  ; #Fitness #ChallengeAccepted             ;200;400; UK       ;2023;1;22;9
24;24; Celebrating a milestone at work! ??               ; Positive  ;22/01/2023 14:30; CareerMilestone; Facebook ; #Career #Milestone                      ;120;250; Canada  ;2023;1;22;14
25;25; Sunday brunch with friends.                        ; Positive  ;22/01/2023 12:00; BrunchBuddy  ; Instagram ; #Brunch #Friends                       ;150;300; UK ;2023;1;22;12
27;28; Learning a new language for personal growth.       ; Positive  ;23/01/2023 16:20; LanguageLearner; Facebook ; #LanguageLearning #PersonalGrowth       ;250;500; India     ;2023;1;23;16
28;29; Quiet evening with a good book.                    ; Positive  ;23/01/2023 19:45; BookLover    ; Instagram ; #Reading #QuietTime                     ;150;300; Australia ;2023;1;23;19
29;30; Reflecting on the importance of mental health.     ; Positive  ;24/01/2023 11:30; MentalHealthMatters; Twitter  ; #MentalHealth #SelfCare                 ;220;450; USA      ;2023;1;24;11
30;31; New painting in progress! ??                       ; Positive  ;24/01/2023 15:00; ArtistInAction; Facebook ; #Art #PaintingInProgress             ;120;250; Canada ;2023;1;24;15
31;32; Weekend road trip to explore scenic views.         ; Positive  ;24/01/2023 17:30; RoadTripper  ; Instagram ; #RoadTrip #ScenicViews                  ;180;350; UK        ;2023;1;24;17
32;33; Enjoying a cup of tea and watching the sunset.     ; Positive  ;25/01/2023 18:00; SunsetWatcher; Twitter  ; #TeaTime #Sunset                       ;150;300; India    ;2023;1;25;18
33;34; Coding a new project with enthusiasm.              ; Positive  ;25/01/2023 13:15; CodeEnthusiast; Facebook ; #Coding #Enthusiasm                   ;300;600; USA ;2023;1;25;13
34;35; Feeling inspired after attending a workshop.       ; Positive  ;26/01/2023 9:45; WorkshopAttendee; Instagram ; #Inspiration #Workshop                  ;250;500;USA;2023;1;26;9
35;36; Winter sports day at the local park.               ; Positive  ;26/01/2023 14:20; WinterSports  ; Twitter  ; #WinterSports #Fun                     ;150;300; Canada   ;2023;1;26;14
36;37; Quality time with family this weekend.             ; Positive  ;26/01/2023 17:40; FamilyTime   ; Facebook ; #FamilyTime #Weekend                    ;220;450; UK        ;2023;1;26;17
37;38; Attending a live music concert tonight.            ; Positive  ;27/01/2023 20:00; MusicLover   ; Instagram ; #Music #ConcertNight                  ;180;350; USA ;2023;1;27;20
38;39; Practicing mindfulness with meditation.            ; Positive  ;27/01/2023 12:30; MindfulMoments; Twitter  ; #Mindfulness #Meditation               ;150;300; India    ;2023;1;27;12
39;40; Trying out a new dessert recipe.                   ; Positive  ;27/01/2023 16:10; DessertExplorer; Facebook ; #Dessert #Cooking                      ;120;250; Canada ;2023;1;27;16
40;41; Excited about the upcoming gaming tournament.      ; Positive  ;28/01/2023 9:00; GamingEnthusiast; Instagram ; #Gaming #Tournament                     ;300;600;USA;2023;1;28;9
